Funder,Policy,Cached,2022,2023,2024,Overall
National Natural Science Foundation of China,http://ir.nsfc.gov.cn/statement,/mandates/nsfc_cn-2021-02-13-cn.pdf,55%,52%,49%,52%
US National Institutes of Health,https://publicaccess.nih.gov/policy.htm,/mandates/nih-2021-02-13.pdf,74%,75%,73%,74%
European Commission,https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/common/agr-contr/general-mga_horizon-euratom_en.pdf,/mandates/horizon-europe-eu-2021-08-14-en.pdf,90%,90%,90%,88%
US National Science Foundation,https://www.nsf.gov/pubs/2015/nsf15052/nsf15052.pdf,/mandates/nsf-2021-02-13.pdf,72%,73%,73%,64%
German Research Foundation,https://www.dfg.de/formulare/2_012e/2_012e.pdf,/mandates/dfg_de-2021-02-13-en.pdf,80%,81%,84%,63%
Government of Spain,https://www.boe.es/boe/dias/2011/06/02/pdfs/BOE-A-2011-9617.pdf,/mandates/boe_es-2021-02-13-es.pdf,87%,88%,88%,82%
US Department of Energy,https://www.osti.gov/pages/faqs#what-is-doe-public-access,/mandates/doe-2021-06-29.pdf,75%,75%,74%,72%
Natural Sciences and Engineering Research Council of Canada,http://www.science.gc.ca/eic/site/063.nsf/eng/h_F6765465.html,/mandates/nserc_ca-2021-02-13-en.pdf,63%,66%,72%,58%
"Department of Science & Technology, India",http://www.dst.gov.in/sites/default/files/APPROVED%20OPEN%20ACCESS%20POLICY-DBT%26DST%2812.12.2014%29_1.pdf,/mandates/dst_in-2021-02-13.pdf,55%,53%,50%,58%
US Department of Defense,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/320012p.pdf?ver=2018-12-17-130508-423,/mandates/dod-2021-02-13.pdf,55%,56%,52%,51%
Chinese Academy of Sciences,http://english.cas.cn/resources/archive/news_archive/nu2014/201502/t20150217_140703.shtml,/mandates/cas_cn-2021-02-13-en.pdf,64%,62%,59%,62%
